x,rhoTime_1e-05,rhoRate_1e-05,rho
-4.8242e+06,NaN,NaN,0.18397
-4.8047e+06,NaN,NaN,0.18397
-4.7852e+06,NaN,NaN,0.18397
-4.7656e+06,NaN,NaN,0.18397
-4.7461e+06,NaN,NaN,0.18397
-4.7266e+06,NaN,NaN,0.18397
-4.707e+06,NaN,NaN,0.18397
-4.6875e+06,NaN,NaN,0.18397
-4.668e+06,NaN,NaN,0.18397
-4.6484e+06,NaN,NaN,0.18397
-4.6289e+06,NaN,NaN,0.18397
-4.6094e+06,NaN,NaN,0.18397
-4.5898e+06,NaN,NaN,0.18397
-4.5703e+06,NaN,NaN,0.18397
-4.5508e+06,NaN,NaN,0.18397
-4.5313e+06,NaN,NaN,0.18397
-4.5117e+06,NaN,NaN,0.18397
-4.4922e+06,NaN,NaN,0.18397
-4.4727e+06,NaN,NaN,0.18397
-4.4531e+06,NaN,NaN,0.18397
-4.4336e+06,NaN,NaN,0.18397
-4.4141e+06,NaN,NaN,0.18397
-4.3945e+06,NaN,NaN,0.18397
-4.375e+06,NaN,NaN,0.18397
-4.3555e+06,NaN,NaN,0.18397
-4.3359e+06,NaN,NaN,0.18397
-4.3164e+06,NaN,NaN,0.18397
-4.2969e+06,NaN,NaN,0.18397
-4.2773e+06,NaN,NaN,0.18397
-4.2578e+06,NaN,NaN,0.18397
-4.2383e+06,NaN,NaN,0.18397
-4.2188e+06,NaN,NaN,0.18397
-4.1992e+06,NaN,NaN,0.18397
-4.1797e+06,NaN,NaN,0.18397
-4.1602e+06,NaN,NaN,0.18397
-4.1406e+06,NaN,NaN,0.18397
-4.1211e+06,NaN,NaN,0.18397
-4.1016e+06,NaN,NaN,0.18397
-4.082e+06,NaN,NaN,0.18397
-4.0625e+06,NaN,NaN,0.18397
-4.043e+06,NaN,NaN,0.18397
-4.0234e+06,NaN,NaN,0.18397
-4.0039e+06,NaN,NaN,0.18397
-3.9844e+06,NaN,NaN,0.18397
-3.9648e+06,NaN,NaN,0.18397
-3.9453e+06,NaN,NaN,0.18397
-3.9258e+06,NaN,NaN,0.18397
-3.9063e+06,NaN,NaN,0.18397
-3.8867e+06,NaN,NaN,0.18397
-3.8672e+06,NaN,NaN,0.18397
-3.8477e+06,NaN,NaN,0.18397
-3.8281e+06,NaN,NaN,0.18397
-3.8086e+06,NaN,NaN,0.18397
-3.7891e+06,NaN,NaN,0.18397
-3.7695e+06,NaN,NaN,0.18397
-3.75e+06,NaN,NaN,0.18397
-3.7305e+06,NaN,NaN,0.18397
-3.7109e+06,NaN,NaN,0.18397
-3.6914e+06,NaN,NaN,0.18397
-3.6719e+06,NaN,NaN,0.18397
-3.6523e+06,NaN,NaN,0.18397
-3.6328e+06,NaN,NaN,0.18397
-3.6133e+06,NaN,NaN,0.18397
-3.5938e+06,NaN,NaN,0.18397
-3.5742e+06,NaN,NaN,0.18397
-3.5547e+06,NaN,NaN,0.18397
-3.5352e+06,NaN,NaN,0.18397
-3.5156e+06,NaN,NaN,0.18397
-3.4961e+06,NaN,NaN,0.18397
-3.4766e+06,NaN,NaN,0.18397
-3.457e+06,NaN,NaN,0.18397
-3.4375e+06,NaN,NaN,0.18397
-3.418e+06,NaN,NaN,0.18397
-3.3984e+06,NaN,NaN,0.18397
-3.3789e+06,NaN,NaN,0.18397
-3.3594e+06,NaN,NaN,0.18397
-3.3398e+06,NaN,NaN,0.18397
-3.3203e+06,NaN,NaN,0.18397
-3.3008e+06,NaN,NaN,0.18397
-3.2813e+06,NaN,NaN,0.18397
-3.2617e+06,NaN,NaN,0.18397
-3.2422e+06,NaN,NaN,0.18397
-3.2227e+06,NaN,NaN,0.18397
-3.2031e+06,NaN,NaN,0.18397
-3.1836e+06,NaN,NaN,0.18397
-3.1641e+06,NaN,NaN,0.18397
-3.1445e+06,NaN,NaN,0.18397
-3.125e+06,NaN,NaN,0.18397
-3.1055e+06,NaN,NaN,0.18397
-3.0859e+06,NaN,NaN,0.18397
-3.0664e+06,NaN,NaN,0.18397
-3.0469e+06,NaN,NaN,0.18397
-3.0273e+06,NaN,NaN,0.18397
-3.0078e+06,NaN,NaN,0.18397
-2.9883e+06,NaN,NaN,0.18397
-2.9688e+06,NaN,NaN,0.18397
-2.9492e+06,NaN,NaN,0.18397
-2.9297e+06,NaN,NaN,0.18397
-2.9102e+06,NaN,NaN,0.18397
-2.8906e+06,NaN,NaN,0.18397
