x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-3.4375e+06,NaN,NaN,0.21603
-3.418e+06,NaN,NaN,0.29645
-3.3984e+06,NaN,NaN,0.36772
-3.3789e+06,NaN,NaN,0.41784
-3.3594e+06,NaN,NaN,0.44524
-3.3398e+06,NaN,NaN,0.45556
-3.3203e+06,NaN,NaN,0.45593
-3.3008e+06,NaN,NaN,0.45188
-3.2813e+06,NaN,NaN,0.44678
-3.2617e+06,NaN,NaN,0.44218
-3.2422e+06,NaN,NaN,0.43858
-3.2227e+06,NaN,NaN,0.43593
-3.2031e+06,NaN,NaN,0.43405
-3.1836e+06,NaN,NaN,0.4327
-3.1641e+06,NaN,NaN,0.43174
-3.1445e+06,NaN,NaN,0.43104
-3.125e+06,NaN,NaN,0.43052
-3.1055e+06,NaN,NaN,0.43015
-3.0859e+06,NaN,NaN,0.4299
-3.0664e+06,NaN,NaN,0.42974
-3.0469e+06,NaN,NaN,0.42965
-3.0273e+06,NaN,NaN,0.42959
-3.0078e+06,NaN,NaN,0.42956
-2.9883e+06,NaN,NaN,0.42955
-2.9688e+06,NaN,NaN,0.42954
-2.9492e+06,NaN,NaN,0.42954
-2.9297e+06,NaN,NaN,0.42954
-2.9102e+06,NaN,NaN,0.42954
-2.8906e+06,NaN,NaN,0.42954
-2.8711e+06,NaN,NaN,0.42954
-2.8516e+06,NaN,NaN,0.42955
-2.832e+06,NaN,NaN,0.42955
-2.8125e+06,NaN,NaN,0.42955
-2.793e+06,NaN,NaN,0.42955
-2.7734e+06,NaN,NaN,0.42955
-2.7539e+06,NaN,NaN,0.42955
-2.7344e+06,NaN,NaN,0.42956
-2.7148e+06,NaN,NaN,0.42956
-2.6953e+06,NaN,NaN,0.42956
-2.6758e+06,NaN,NaN,0.42956
-2.6563e+06,NaN,NaN,0.42956
-2.6367e+06,NaN,NaN,0.42956
-2.6172e+06,NaN,NaN,0.42956
-2.5977e+06,NaN,NaN,0.42956
-2.5781e+06,NaN,NaN,0.42956
-2.5586e+06,NaN,NaN,0.42956
-2.5391e+06,NaN,NaN,0.42956
-2.5195e+06,NaN,NaN,0.42956
-2.5e+06,NaN,NaN,0.42956
-2.4805e+06,NaN,NaN,0.42956
-2.4609e+06,NaN,NaN,0.42956
-2.4414e+06,NaN,NaN,0.42956
-2.4219e+06,NaN,NaN,0.42956
-2.4023e+06,NaN,NaN,0.42956
-2.3828e+06,NaN,NaN,0.42956
-2.3633e+06,NaN,NaN,0.42956
-2.3438e+06,NaN,NaN,0.42956
-2.3242e+06,NaN,NaN,0.42956
-2.3047e+06,NaN,NaN,0.42956
-2.2852e+06,NaN,NaN,0.42956
-2.2656e+06,NaN,NaN,0.42956
-2.2461e+06,NaN,NaN,0.42956
-2.2266e+06,NaN,NaN,0.42956
-2.207e+06,NaN,NaN,0.42956
-2.1875e+06,NaN,NaN,0.42956
-2.168e+06,NaN,NaN,0.42956
-2.1484e+06,NaN,NaN,0.42956
-2.1289e+06,NaN,NaN,0.42956
-2.1094e+06,NaN,NaN,0.42956
-2.0898e+06,NaN,NaN,0.42956
-2.0703e+06,NaN,NaN,0.42956
-2.0508e+06,NaN,NaN,0.42956
-2.0313e+06,NaN,NaN,0.42956
-2.0117e+06,NaN,NaN,0.42956
-1.9922e+06,NaN,NaN,0.42956
-1.9727e+06,NaN,NaN,0.42956
-1.9531e+06,NaN,NaN,0.42956
-1.9336e+06,NaN,NaN,0.42956
-1.9141e+06,NaN,NaN,0.42956
-1.8945e+06,NaN,NaN,0.42956
-1.875e+06,NaN,NaN,0.42956
-1.8555e+06,NaN,NaN,0.42956
-1.8359e+06,NaN,NaN,0.42956
